audit_unit_sequence,audit_unit_id,audit_priority,evidence_route,profile_count,markets,normalized_source_domain,profile_keys,titles,addresses,observed_categories,source_website_urls,source_phones,direct_profile_evidence_urls,official_site_search_urls,profile_search_urls,decision_boundary
47,eligibility_review_block:1b757650ef12cc79,2,direct_website_singleton,1,Atlanta_GA_L,mercyatlanta.org,google:cid:16152439090923692825,Mercy Care at Gateway Center,"275 Pryor St SW, Atlanta, GA 30303",Medical clinic,http://mercyatlanta.org/LOCATION_GATEWAY_CENTER,+1678-843-8600,https://www.google.com/maps?cid=16152439090923692825,https://www.google.com/search?q=site%3Amercyatlanta.org+%22Mercy+Care+at+Gateway+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Mercy+Care+at+Gateway+Center%22+%22275+Pryor+St+SW%2C+Atlanta%2C+GA+30303%22+%22%2B1678-843-8600%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
48,eligibility_review_block:d7bb651c0151370c,2,direct_website_singleton,1,Augusta_GA_L,mirmakmin.com,google:cid:17592610386023037987,Druid Park Community Health Center,"1018 Druid Park Ave, Augusta, GA 30904",Medical clinic,https://mirmakmin.com/,+1706-738-0455,https://www.google.com/maps?cid=17592610386023037987,https://www.google.com/search?q=site%3Amirmakmin.com+%22Druid+Park+Community+Health+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Druid+Park+Community+Health+Center%22+%221018+Druid+Park+Ave%2C+Augusta%2C+GA+30904%22+%22%2B1706-738-0455%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
49,eligibility_review_block:6f6fe3623feb01f7,2,direct_website_singleton,1,NYC_NY_L,newyorkfamilydentistry.com,google:cid:295538574977635025,Dr. Lawrence Weiss,"9323 Avenue L, Brooklyn, NY 11236",Medical clinic,https://newyorkfamilydentistry.com/about_us/doctor_weiss/,+1718-531-9100,https://www.google.com/maps?cid=295538574977635025,https://www.google.com/search?q=site%3Anewyorkfamilydentistry.com+%22Dr.+Lawrence+Weiss%22+dental+dentist+patients,https://www.google.com/search?q=%22Dr.+Lawrence+Weiss%22+%229323+Avenue+L%2C+Brooklyn%2C+NY+11236%22+%22%2B1718-531-9100%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
50,eligibility_review_block:626ecc10d472452a,2,direct_website_singleton,1,NYC_NY_L,nysleepsolutions.com,google:cid:14013165419560239248,New York Sleep Solutions,"265 Madison Ave 3rd floor, New York, NY 10016",Sleep clinic,https://nysleepsolutions.com/,+1212-540-1622,https://www.google.com/maps?cid=14013165419560239248,https://www.google.com/search?q=site%3Anysleepsolutions.com+%22New+York+Sleep+Solutions%22+dental+dentist+patients,https://www.google.com/search?q=%22New+York+Sleep+Solutions%22+%22265+Madison+Ave+3rd+floor%2C+New+York%2C+NY+10016%22+%22%2B1212-540-1622%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
51,eligibility_review_block:64e19383c95c8e70,2,direct_website_singleton,1,NYC_NY_L,nyulangone.org,google:cid:7749441387408078850,NYU Lutheran Family Health Centers Brooklyn-Chinese,"5008 7th Ave, Brooklyn, NY 11220",Medical clinic,https://nyulangone.org/locations/seventh-avenue-family-health-center-at-nyu-langone,+1718-210-1030,https://www.google.com/maps?cid=7749441387408078850,https://www.google.com/search?q=site%3Anyulangone.org+%22NYU+Lutheran+Family+Health+Centers+Brooklyn-Chinese%22+dental+dentist+patients,https://www.google.com/search?q=%22NYU+Lutheran+Family+Health+Centers+Brooklyn-Chinese%22+%225008+7th+Ave%2C+Brooklyn%2C+NY+11220%22+%22%2B1718-210-1030%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
52,eligibility_review_block:b8ec56fa7baff676,2,direct_website_singleton,1,NYC_NY_L,odahealth.org,google:cid:15144409111980064554,ODA Crown Heights,"779 E New York Ave, Brooklyn, NY 11203",Community health center,https://odahealth.org/locations/oda-crown-heights.html,+1718-260-4670,https://www.google.com/maps?cid=15144409111980064554,https://www.google.com/search?q=site%3Aodahealth.org+%22ODA+Crown+Heights%22+dental+dentist+patients,https://www.google.com/search?q=%22ODA+Crown+Heights%22+%22779+E+New+York+Ave%2C+Brooklyn%2C+NY+11203%22+%22%2B1718-260-4670%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
53,eligibility_review_block:e90333fd6db06aae,2,direct_website_singleton,1,NYC_NY_L,onehansonplace.nyc,google:cid:14748533435362658906,One Hanson Place,"One Hanson Pl, Brooklyn, NY 11243",Condominium complex,https://onehansonplace.nyc/,+1718-783-6608,https://www.google.com/maps?cid=14748533435362658906,https://www.google.com/search?q=site%3Aonehansonplace.nyc+%22One+Hanson+Place%22+dental+dentist+patients,https://www.google.com/search?q=%22One+Hanson+Place%22+%22One+Hanson+Pl%2C+Brooklyn%2C+NY+11243%22+%22%2B1718-783-6608%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
54,eligibility_review_block:619971a47933ebbf,2,direct_website_singleton,1,Eureka_CA_S,opendoorhealth.com,google:cid:12163677498635139494,Open door clinic,"3rd St, Eureka, CA 95501",Medical clinic,https://opendoorhealth.com/,+1707-443-4666,https://www.google.com/maps?cid=12163677498635139494,https://www.google.com/search?q=site%3Aopendoorhealth.com+%22Open+door+clinic%22+dental+dentist+patients,https://www.google.com/search?q=%22Open+door+clinic%22+%223rd+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-443-4666%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
55,eligibility_review_block:8a887994f814d1e9,2,direct_website_singleton,1,NYC_NY_L,pediatrics.northwell.edu,google:cid:9088123712092137469,Center for Hemifacial Microsomia and Ear Deformities,"1991 Marcus Ave #102, North New Hyde Park, NY 11042",Pediatric ophthalmologist,https://pediatrics.northwell.edu/departments-services/center-for-hemifacial-microsomia-ear-deformities?utm_source=provider_listing&utm_medium=partner&utm_campaign=yext,+1516-497-7900,https://www.google.com/maps?cid=9088123712092137469,https://www.google.com/search?q=site%3Apediatrics.northwell.edu+%22Center+for+Hemifacial+Microsomia+and+Ear+Deformities%22+dental+dentist+patients,https://www.google.com/search?q=%22Center+for+Hemifacial+Microsomia+and+Ear+Deformities%22+%221991+Marcus+Ave+%23102%2C+North+New+Hyde+Park%2C+NY+11042%22+%22%2B1516-497-7900%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
56,eligibility_review_block:25a091681609301a,2,direct_website_singleton,1,Toccoa_GA_S,phdistrict2.org,google:cid:13320476754117954318,Stephens County Health Department,"64 N Blvd, Toccoa, GA 30577",Health,https://phdistrict2.org/stephens-county-health-department/,+1706-282-4507,https://www.google.com/maps?cid=13320476754117954318,https://www.google.com/search?q=site%3Aphdistrict2.org+%22Stephens+County+Health+Department%22+dental+dentist+patients,https://www.google.com/search?q=%22Stephens+County+Health+Department%22+%2264+N+Blvd%2C+Toccoa%2C+GA+30577%22+%22%2B1706-282-4507%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
57,eligibility_review_block:bc1100121070e6f7,2,direct_website_singleton,1,Eureka_CA_S,puremakeupstore.com,google:cid:10342098488761581509,Pure Makeup Studio & Med Spa,"522 F St, Eureka, CA 95501",Make-up artist,http://puremakeupstore.com/,+1707-442-9200,https://www.google.com/maps?cid=10342098488761581509,https://www.google.com/search?q=site%3Apuremakeupstore.com+%22Pure+Makeup+Studio+%26+Med+Spa%22+dental+dentist+patients,https://www.google.com/search?q=%22Pure+Makeup+Studio+%26+Med+Spa%22+%22522+F+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-442-9200%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
58,eligibility_review_block:f108bac8548a4db0,2,direct_website_singleton,1,NYC_NY_L,rambamfamilyhealth.org,google:cid:5575282571407485970,Rambam Family Health Center,"1122 Chestnut Ave, Brooklyn, NY 11230",Medical clinic,https://rambamfamilyhealth.org/,+1718-942-3888,https://www.google.com/maps?cid=5575282571407485970,https://www.google.com/search?q=site%3Arambamfamilyhealth.org+%22Rambam+Family+Health+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Rambam+Family+Health+Center%22+%221122+Chestnut+Ave%2C+Brooklyn%2C+NY+11230%22+%22%2B1718-942-3888%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
59,eligibility_review_block:56c2836cb025a52a,2,direct_website_singleton,1,NYC_NY_L,refuahfamilydental.com,google:cid:9768454306702895582,Dr. Omid Arastehmanesh,"5313 New Utrecht Ave, Brooklyn, NY 11219",Medical clinic,https://refuahfamilydental.com/,+1718-435-3400,https://www.google.com/maps?cid=9768454306702895582,https://www.google.com/search?q=site%3Arefuahfamilydental.com+%22Dr.+Omid+Arastehmanesh%22+dental+dentist+patients,https://www.google.com/search?q=%22Dr.+Omid+Arastehmanesh%22+%225313+New+Utrecht+Ave%2C+Brooklyn%2C+NY+11219%22+%22%2B1718-435-3400%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
60,eligibility_review_block:8ae10c691fbd5a9e,2,direct_website_singleton,1,NYC_NY_L,restfulsleepsolution.com,google:cid:10128345118129549676,Restful Sleep Solution,"1725 Sheepshead Bay Rd, Brooklyn, NY 11235",Sleep clinic,https://restfulsleepsolution.com/contact-us,+1718-872-7830,https://www.google.com/maps?cid=10128345118129549676,https://www.google.com/search?q=site%3Arestfulsleepsolution.com+%22Restful+Sleep+Solution%22+dental+dentist+patients,https://www.google.com/search?q=%22Restful+Sleep+Solution%22+%221725+Sheepshead+Bay+Rd%2C+Brooklyn%2C+NY+11235%22+%22%2B1718-872-7830%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
61,eligibility_review_block:21627077b3f38f67,2,direct_website_singleton,1,LA_CA_L,roadsfoundation.org,google:cid:3440383556425355901,ROADS Community Clinic - East Long Beach,"4800 E Los Coyotes Diagonal, Long Beach, CA 90815",Medical clinic,https://roadsfoundation.org/,+1562-506-1313,https://www.google.com/maps?cid=3440383556425355901,https://www.google.com/search?q=site%3Aroadsfoundation.org+%22ROADS+Community+Clinic+-+East+Long+Beach%22+dental+dentist+patients,https://www.google.com/search?q=%22ROADS+Community+Clinic+-+East+Long+Beach%22+%224800+E+Los+Coyotes+Diagonal%2C+Long+Beach%2C+CA+90815%22+%22%2B1562-506-1313%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
62,eligibility_review_block:efdc144592ed2f22,2,direct_website_singleton,1,LA_CA_L,sjch.org,google:cid:2699669743953774124,St. John’s Community Health - Leavey-OB Clinic,"3628 E Imperial Hwy #301, Lynwood, CA 90262",Family planning center,http://sjch.org/find-a-clinic/,+1323-541-1411,https://www.google.com/maps?cid=2699669743953774124,https://www.google.com/search?q=site%3Asjch.org+%22St.+John%E2%80%99s+Community+Health+-+Leavey-OB+Clinic%22+dental+dentist+patients,https://www.google.com/search?q=%22St.+John%E2%80%99s+Community+Health+-+Leavey-OB+Clinic%22+%223628+E+Imperial+Hwy+%23301%2C+Lynwood%2C+CA+90262%22+%22%2B1323-541-1411%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
63,eligibility_review_block:273162d348b497fb,2,direct_website_singleton,1,LA_CA_L,sjch.org,google:cid:16921693145374816641,St. John’s Community Health Warner Traynham Clinic,"326 W 23rd St, Los Angeles, CA 90007",Medical clinic,https://sjch.org/,+1323-541-1411,https://www.google.com/maps?cid=16921693145374816641,https://www.google.com/search?q=site%3Asjch.org+%22St.+John%E2%80%99s+Community+Health+Warner+Traynham+Clinic%22+dental+dentist+patients,https://www.google.com/search?q=%22St.+John%E2%80%99s+Community+Health+Warner+Traynham+Clinic%22+%22326+W+23rd+St%2C+Los+Angeles%2C+CA+90007%22+%22%2B1323-541-1411%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
64,eligibility_review_block:498b511e0b067451,2,direct_website_singleton,1,LA_CA_L,specials.zendyhealth.com,google:cid:5839081733048392970,ZendyHealth,"1200 Santee St #201, Los Angeles, CA 90015",Medical clinic,https://specials.zendyhealth.com/hsabank/,+1855-699-3639,https://www.google.com/maps?cid=5839081733048392970,https://www.google.com/search?q=site%3Aspecials.zendyhealth.com+%22ZendyHealth%22+dental+dentist+patients,https://www.google.com/search?q=%22ZendyHealth%22+%221200+Santee+St+%23201%2C+Los+Angeles%2C+CA+90015%22+%22%2B1855-699-3639%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
65,eligibility_review_block:9720555d6a8d1468,2,direct_website_singleton,1,LA_CA_L,stepanyansurgical.com,google:cid:16710840398733596569,Stepanyan Surgical Arts Center,"1500 E Chevy Chase Dr #430, Glendale, CA 91206",Plastic surgeon,https://stepanyansurgical.com/,+1818-551-0088,https://www.google.com/maps?cid=16710840398733596569,https://www.google.com/search?q=site%3Astepanyansurgical.com+%22Stepanyan+Surgical+Arts+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Stepanyan+Surgical+Arts+Center%22+%221500+E+Chevy+Chase+Dr+%23430%2C+Glendale%2C+CA+91206%22+%22%2B1818-551-0088%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
66,eligibility_review_block:b5017a9567967f01,2,direct_website_singleton,1,LA_CA_L,tccliniic.com,google:cid:17012823065007518935,TC Clinic,"604 Rose Ave, Venice, CA 90291",Medical clinic,http://tccliniic.com/family-clinic/venice-family-clinic-locations-hrs-directions.html,+1310-392-8636,https://www.google.com/maps?cid=17012823065007518935,https://www.google.com/search?q=site%3Atccliniic.com+%22TC+Clinic%22+dental+dentist+patients,https://www.google.com/search?q=%22TC+Clinic%22+%22604+Rose+Ave%2C+Venice%2C+CA+90291%22+%22%2B1310-392-8636%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
67,eligibility_review_block:602117636e38b825,2,direct_website_singleton,1,LA_CA_L,unicarechc.org,google:cid:5424899260031512217,Unicare Community Health Center - Los Angeles,"741 S Alvarado St, Los Angeles, CA 90057",Medical clinic,https://unicarechc.org/,+1213-413-6666,https://www.google.com/maps?cid=5424899260031512217,https://www.google.com/search?q=site%3Aunicarechc.org+%22Unicare+Community+Health+Center+-+Los+Angeles%22+dental+dentist+patients,https://www.google.com/search?q=%22Unicare+Community+Health+Center+-+Los+Angeles%22+%22741+S+Alvarado+St%2C+Los+Angeles%2C+CA+90057%22+%22%2B1213-413-6666%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
68,eligibility_review_block:29bce50425de23df,2,direct_website_singleton,1,LA_CA_L,uniform.land,google:cid:4203108899044058271,Uniformland,"23360 Valencia Blvd Ste G, Valencia, CA 91355",Uniform store,http://uniform.land/,+1661-255-2033,https://www.google.com/maps?cid=4203108899044058271,https://www.google.com/search?q=site%3Auniform.land+%22Uniformland%22+dental+dentist+patients,https://www.google.com/search?q=%22Uniformland%22+%2223360+Valencia+Blvd+Ste+G%2C+Valencia%2C+CA+91355%22+%22%2B1661-255-2033%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
69,eligibility_review_block:6f8050add09e52aa,2,direct_website_singleton,1,Eureka_CA_S,unitedindianhealthservices.org,google:cid:5485192789650701152,Eureka Health Center- United Indian Health Services,"2505 Lucas St Ste a, Eureka, CA 95501",Medical clinic,http://unitedindianhealthservices.org/,+1707-442-0380,https://www.google.com/maps?cid=5485192789650701152,https://www.google.com/search?q=site%3Aunitedindianhealthservices.org+%22Eureka+Health+Center-+United+Indian+Health+Services%22+dental+dentist+patients,https://www.google.com/search?q=%22Eureka+Health+Center-+United+Indian+Health+Services%22+%222505+Lucas+St+Ste+a%2C+Eureka%2C+CA+95501%22+%22%2B1707-442-0380%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
70,eligibility_review_block:d016dd076e909cca,2,direct_website_singleton,1,Eureka_CA_S,unitedindianhealthservices.org,google:cid:13043699129127900103,United Indian Health Services - Downtown Eureka,"434 7th St, Eureka, CA 95501",Public health department,https://unitedindianhealthservices.org/,+1707-296-2500,https://www.google.com/maps?cid=13043699129127900103,https://www.google.com/search?q=site%3Aunitedindianhealthservices.org+%22United+Indian+Health+Services+-+Downtown+Eureka%22+dental+dentist+patients,https://www.google.com/search?q=%22United+Indian+Health+Services+-+Downtown+Eureka%22+%22434+7th+St%2C+Eureka%2C+CA+95501%22+%22%2B1707-296-2500%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
71,eligibility_review_block:6b43b8cf56fca6fa,2,direct_website_singleton,1,LA_CA_L,usoncology.com,google:cid:92410452455775698,Vantage Oncology,"5522 Sepulveda Blvd, Sherman Oaks, CA 91411",Cancer treatment center,https://usoncology.com/news/vantage-oncologys-50-centers-and-more-than-350-affiliated-physicians-join-the-us-oncology-network/,+1818-997-1522,https://www.google.com/maps?cid=92410452455775698,https://www.google.com/search?q=site%3Ausoncology.com+%22Vantage+Oncology%22+dental+dentist+patients,https://www.google.com/search?q=%22Vantage+Oncology%22+%225522+Sepulveda+Blvd%2C+Sherman+Oaks%2C+CA+91411%22+%22%2B1818-997-1522%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
72,eligibility_review_block:a0f3be8b669e721f,2,direct_website_singleton,1,LA_CA_L,valleycommunityhealthcare.org,google:cid:685936001646178210,Valley Community Healthcare,"6801 Coldwater Canyon Ave, North Hollywood, CA 91605",Medical clinic,https://valleycommunityhealthcare.org/,+1818-763-8836,https://www.google.com/maps?cid=685936001646178210,https://www.google.com/search?q=site%3Avalleycommunityhealthcare.org+%22Valley+Community+Healthcare%22+dental+dentist+patients,https://www.google.com/search?q=%22Valley+Community+Healthcare%22+%226801+Coldwater+Canyon+Ave%2C+North+Hollywood%2C+CA+91605%22+%22%2B1818-763-8836%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
73,eligibility_review_block:155ae2123f5f32c2,2,direct_website_singleton,1,Macon_GA_M,walmarthealth.com,google:cid:13284838367573234959,Walmart Health Center,"6020 Harrison Rd Suite B, Macon, GA 31206",Medical clinic,https://walmarthealth.com/,+1478-703-0468,https://www.google.com/maps?cid=13284838367573234959,https://www.google.com/search?q=site%3Awalmarthealth.com+%22Walmart+Health+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Walmart+Health+Center%22+%226020+Harrison+Rd+Suite+B%2C+Macon%2C+GA+31206%22+%22%2B1478-703-0468%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
74,eligibility_review_block:efc0ad29675fa663,2,direct_website_singleton,1,LA_CA_L,wesleyhealthcenters.com,google:cid:17148503378792403798,Wesley Health Clinic,"522 San Pedro St, Los Angeles, CA 90013",Medical group,http://wesleyhealthcenters.com/,+1562-867-7999,https://www.google.com/maps?cid=17148503378792403798,https://www.google.com/search?q=site%3Awesleyhealthcenters.com+%22Wesley+Health+Clinic%22+dental+dentist+patients,https://www.google.com/search?q=%22Wesley+Health+Clinic%22+%22522+San+Pedro+St%2C+Los+Angeles%2C+CA+90013%22+%22%2B1562-867-7999%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
75,eligibility_review_block:c64197d1b4ae0c54,2,direct_website_singleton,1,Atlanta_GA_L,whitefoord.org,google:cid:374081400048267317,Whitefoord Health Center,"1401 Hosea L Williams Dr NE, Atlanta, GA 30317",Medical clinic,http://whitefoord.org/,+1404-373-6614,https://www.google.com/maps?cid=374081400048267317,https://www.google.com/search?q=site%3Awhitefoord.org+%22Whitefoord+Health+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Whitefoord+Health+Center%22+%221401+Hosea+L+Williams+Dr+NE%2C+Atlanta%2C+GA+30317%22+%22%2B1404-373-6614%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
76,eligibility_review_block:9f9d425a519b3050,2,direct_website_singleton,1,LA_CA_L,wmchealthcenter.org,google:cid:17578519269912760366,White Memorial Community Health Center - Plaza III,"1828 E Cesar E Chavez Ave, Los Angeles, CA 90033",Medical clinic,https://wmchealthcenter.org/contact/,+1323-987-1200,https://www.google.com/maps?cid=17578519269912760366,https://www.google.com/search?q=site%3Awmchealthcenter.org+%22White+Memorial+Community+Health+Center+-+Plaza+III%22+dental+dentist+patients,https://www.google.com/search?q=%22White+Memorial+Community+Health+Center+-+Plaza+III%22+%221828+E+Cesar+E+Chavez+Ave%2C+Los+Angeles%2C+CA+90033%22+%22%2B1323-987-1200%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
77,eligibility_review_block:27d0aae5d9705545,2,direct_website_singleton,1,LA_CA_L,www.100bmla.net,google:cid:1041337711816604659,100 Black Men of Los Angeles,"3701 Stocker St #309a, Los Angeles, CA 90008",Non-profit organization,https://www.100bmla.net/,+1310-947-7745,https://www.google.com/maps?cid=1041337711816604659,https://www.google.com/search?q=site%3Awww.100bmla.net+%22100+Black+Men+of+Los+Angeles%22+dental+dentist+patients,https://www.google.com/search?q=%22100+Black+Men+of+Los+Angeles%22+%223701+Stocker+St+%23309a%2C+Los+Angeles%2C+CA+90008%22+%22%2B1310-947-7745%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
78,eligibility_review_block:5fe61fe1f649a4f8,2,direct_website_singleton,1,NYC_NY_L,www.addabbo.org,google:cid:18267820865628352209,"The Joseph P. Addabbo Family Health Center, Inc.","62-00 Beach Channel Dr, Arverne, NY 11692",Medical Center,http://www.addabbo.org/,+1718-945-7150,https://www.google.com/maps?cid=18267820865628352209,https://www.google.com/search?q=site%3Awww.addabbo.org+%22The+Joseph+P.+Addabbo+Family+Health+Center%2C+Inc.%22+dental+dentist+patients,https://www.google.com/search?q=%22The+Joseph+P.+Addabbo+Family+Health+Center%2C+Inc.%22+%2262-00+Beach+Channel+Dr%2C+Arverne%2C+NY+11692%22+%22%2B1718-945-7150%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
79,eligibility_review_block:2ca8d26ec4c84e03,2,direct_website_singleton,1,SaranacLake_NY_S,www.adirondackhealth.org,google:cid:10103828371342018102,Adirondack Health,"2233 NY-86, Saranac Lake, NY 12983",Medical clinic,http://www.adirondackhealth.org/,+1518-891-4141,https://www.google.com/maps?cid=10103828371342018102,https://www.google.com/search?q=site%3Awww.adirondackhealth.org+%22Adirondack+Health%22+dental+dentist+patients,https://www.google.com/search?q=%22Adirondack+Health%22+%222233+NY-86%2C+Saranac+Lake%2C+NY+12983%22+%22%2B1518-891-4141%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
80,eligibility_review_block:29f38db4cdbc594d,2,direct_website_singleton,1,FortBragg_CA_S,www.adventisthealth.org,google:cid:5493462293064925102,Adventist Health Mendocino Coast,"700 River Dr, Fort Bragg, CA 95437",Hospital,https://www.adventisthealth.org/mendocino-coast/,+1707-961-1234,https://www.google.com/maps?cid=5493462293064925102,https://www.google.com/search?q=site%3Awww.adventisthealth.org+%22Adventist+Health+Mendocino+Coast%22+dental+dentist+patients,https://www.google.com/search?q=%22Adventist+Health+Mendocino+Coast%22+%22700+River+Dr%2C+Fort+Bragg%2C+CA+95437%22+%22%2B1707-961-1234%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
81,eligibility_review_block:46a52b1dd6bbb716,2,direct_website_singleton,1,LA_CA_L,www.aestheticdecor.com,google:cid:895678497028964503,Aesthetic,"8663 Holloway Plaza Dr, Los Angeles, CA 90069",Furniture maker,http://www.aestheticdecor.com/,+1310-659-6213,https://www.google.com/maps?cid=895678497028964503,https://www.google.com/search?q=site%3Awww.aestheticdecor.com+%22Aesthetic%22+dental+dentist+patients,https://www.google.com/search?q=%22Aesthetic%22+%228663+Holloway+Plaza+Dr%2C+Los+Angeles%2C+CA+90069%22+%22%2B1310-659-6213%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
82,eligibility_review_block:73a856afb4f0d983,2,direct_website_singleton,1,LA_CA_L,www.affinitycosmeticcenter.com,google:cid:15714100834549036307,Affinity Cosmetic Center,"12304 Santa Monica Blvd #101, Los Angeles, CA 90025",Skin care clinic,http://www.affinitycosmeticcenter.com/,+1310-801-6484,https://www.google.com/maps?cid=15714100834549036307,https://www.google.com/search?q=site%3Awww.affinitycosmeticcenter.com+%22Affinity+Cosmetic+Center%22+dental+dentist+patients,https://www.google.com/search?q=%22Affinity+Cosmetic+Center%22+%2212304+Santa+Monica+Blvd+%23101%2C+Los+Angeles%2C+CA+90025%22+%22%2B1310-801-6484%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
83,eligibility_review_block:ecc2ea6e4ea31de8,2,direct_website_singleton,1,LA_CA_L,www.altamed.org,google:cid:8733211690348049313,"AltaMed Medical and Dental Group - Pasadena, Fair Oaks","1855 N Fair Oaks Ave #200, Pasadena, CA 91103",Medical clinic,https://www.altamed.org/,+1888-499-9303,https://www.google.com/maps?cid=8733211690348049313,https://www.google.com/search?q=site%3Awww.altamed.org+%22AltaMed+Medical+and+Dental+Group+-+Pasadena%2C+Fair+Oaks%22+dental+dentist+patients,https://www.google.com/search?q=%22AltaMed+Medical+and+Dental+Group+-+Pasadena%2C+Fair+Oaks%22+%221855+N+Fair+Oaks+Ave+%23200%2C+Pasadena%2C+CA+91103%22+%22%2B1888-499-9303%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
84,eligibility_review_block:44f13bc44b5fc9a8,2,direct_website_singleton,1,LA_CA_L,www.altamed.org,google:cid:11349040228690126297,AltaMed Medical and Dental Group - South Gate,"8627 Atlantic Ave, South Gate, CA 90280",Medical group,http://www.altamed.org/,+1888-499-9303,https://www.google.com/maps?cid=11349040228690126297,https://www.google.com/search?q=site%3Awww.altamed.org+%22AltaMed+Medical+and+Dental+Group+-+South+Gate%22+dental+dentist+patients,https://www.google.com/search?q=%22AltaMed+Medical+and+Dental+Group+-+South+Gate%22+%228627+Atlantic+Ave%2C+South+Gate%2C+CA+90280%22+%22%2B1888-499-9303%22+dentist+dental+patients,Review every member. Use one block decision only when the same evidence supports every exact profile; otherwise review profiles separately.
