category_group_id,observed_categories,observed_source_decisions,category_rule_pattern,review_tier,suggested_manual_decision,suggestion_basis,profile_count,markets,sample_titles,group_manual_decision,group_decision_evidence,reviewed_by,reviewed_on
eligibility_group:da5f0c039fc4a778,Pain management physician,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,LA_CA_L|NYC_NY_L,"Dr. Wei Ching Lee, MD - Arc Motion Rehab Clinic || Dr. Donald Tanenbaum || New York TMJ & Orofacial Pain (NY, NY 5th Ave)",,,,
eligibility_group:cc959e46f76b4a21,Public health department,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,Atlanta_GA_L|Augusta_GA_L|Eureka_CA_S,Georgia Department of Community Health || Richmond County Health Department || United Indian Health Services - Downtown Eureka,,,,
eligibility_group:bcde824d5b399027,X-ray lab,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,3,LA_CA_L,Dent X Imaging Center || Granada Hills Radiology || Mobile 3D Advantage,,,,
eligibility_group:b5ae80e5ad7cea6d,Alternative medicine practitioner,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L,Millennium Health Group || Mundrugstore,,,,
eligibility_group:58feeb0c4d85c099,Cancer treatment center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,Augusta_GA_L|LA_CA_L,TMJ Associates || Vantage Oncology,,,,
eligibility_group:dedfc745d89f2414,Chiropractor,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,Buffalo_NY_L|LA_CA_L,"Buffalo Family Chiropractic Wellness, P.C. || AmeriplanUsa",,,,
eligibility_group:690588d673aff3e0,Condominium complex,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,NYC_NY_L,Devonshire House || One Hanson Place,,,,
eligibility_group:5721d7584f64bb4b,Doctor,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L|NYC_NY_L,"Wong Jessica Pea MD || VisoDent NYC - Teeth whitening, Invisalign, Aesthetics clinic",,,,
eligibility_group:996c37683b16ba16,Health,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L|Toccoa_GA_S,Chinatown Service Center || Stephens County Health Department,,,,
eligibility_group:8c88af6de3a4ac5e,Medical spa,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,NYC_NY_L|SanFrancisco_CA_L,Medical Orthodontics || Facial Therapy Studio,,,,
eligibility_group:608841ecf0b2db79,Optometrist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,FortBragg_CA_S,"J. Kyle Smith, OD || Lynette Kline, OD",,,,
eligibility_group:f4c429ee0eaa6a16,Plastic surgery clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,Buffalo_NY_L|LA_CA_L,Aesthetic Associates Centre || Jaw Surgery Los Angeles,,,,
eligibility_group:a610b283ab567286,Shopping mall,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L,Foster Mall || POLY PLAZA,,,,
eligibility_group:7a6b4d7abd08fee8,Skin care clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,2,LA_CA_L|Vidalia_GA_S,Affinity Cosmetic Center || Dermatology Associates,,,,
eligibility_group:7f6c6360ca5455ff,,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Dr MGK,,,,
eligibility_group:02dcfcd73b831370,Academic department,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,NYUDentalUrgentCareCtr,,,,
eligibility_group:11aa1e916db1aa85,Acupuncture clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,Macon Holistic,,,,
eligibility_group:109ca635159bfcf9,Acupuncturist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Akpinar Bill B,,,,
eligibility_group:1c581a3afe68aaf2,Addiction treatment center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,HealthRIGHT 360,,,,
eligibility_group:b3f2ea68ed102628,Appliance store,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Appliance Therapy Group,,,,
eligibility_group:2828f45881a41726,Art gallery,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Art Investment Consultancy,,,,
eligibility_group:2b363d7841954eac,Association / Organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,"Spanish American Medical Dental Society of New York, Inc.",,,,
eligibility_group:f471df0293731a06,Bank,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Richter & Co Inc,,,,
eligibility_group:ed06ca914eca5a5b,Bookkeeping service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Coffee and Consulting LLC,,,,
eligibility_group:95a4c5f41bb94bef,Business administration service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,North Coast Clinics Network,,,,
eligibility_group:4e65f218b0c2f72b,Business to business service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,"InterDent, Inc.",,,,
eligibility_group:87792a8b95e277fa,Cardiologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Yang Bao Bin MD,,,,
eligibility_group:542f09dfc2a7d5b4,Clothing store,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Struggle Compound,,,,
eligibility_group:33f2d6fdc924912e,Consultant,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Workforce Resource & Management Group,,,,
eligibility_group:d074f22de8ddee98,Day spa,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Smile Time NY & Meikkos Juice Bar,,,,
eligibility_group:557fbafaadfc06c0,Family planning center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,St. John’s Community Health - Leavey-OB Clinic,,,,
eligibility_group:6a202a936b857088,Furniture maker,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Aesthetic,,,,
eligibility_group:80bfcb676b0ff00e,Government office,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,Partnership Healthplan Of California,,,,
eligibility_group:e231d05b9a97123e,Graduate school,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,"University of Pacific (UOP), San Francisco",,,,
eligibility_group:9b7c162f3e96d8ac,Health consultant,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,Envoy Health,,,,
eligibility_group:4ba8b77a4528c354,Herbalist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,CurlyJanes Crystal Rose,,,,
eligibility_group:488e8f068db9ff30,Homeless shelter,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Project Renewal Fort Washington Men's Shelter,,,,
eligibility_group:ea5d31a9418eb3d1,Immigration attorney,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Buffalo_NY_L,Richards and Jurusik Immigration Lawyers,,,,
eligibility_group:1d59b7122da080e0,Kennel,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,K9 Loft,,,,
eligibility_group:951745147fdc1790,Make-up artist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,Pure Makeup Studio & Med Spa,,,,
eligibility_group:65504865b22162bd,Medical diagnostic imaging center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,3D Imaging Inc,,,,
eligibility_group:e254853096c923f9,Medical equipment supplier,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Neobiotech USA,,,,
eligibility_group:594fa1d47532a2c5,Medical office,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Brookdale Family Care Center - New Lots,,,,
eligibility_group:fc496f50a73ebcfd,Mental health clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,The Wallis Annenberg Children & Family Health Center at Hollywood Wilshire Health Center,,,,
eligibility_group:d4d460f80a65be63,Music instruction,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Studer Performance Art,,,,
eligibility_group:57eeb9e687d4ba7d,Nail salon,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,FortBragg_CA_S,My Beautiful Nails,,,,
eligibility_group:0ec14e66a4663c8f,Nursing home,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Meadow Park Rehab & Healthcare,,,,
eligibility_group:6802faf098d90035,Orthotics & prosthetics service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,FortBragg_CA_S,Align Orthotics & Prosthetics,,,,
eligibility_group:772713ab1100c436,Otolaryngology clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Head & Neck Surgical Group,,,,
eligibility_group:bfea3f9b8ddbece7,Pathologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,"Richard Jordan, D.D.S.",,,,
eligibility_group:2e00f425af73d508,Pediatric ophthalmologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Center for Hemifacial Microsomia and Ear Deformities,,,,
eligibility_group:85cb6619e39fd7d5,Pet boarding service,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,K9 LOFT,,,,
eligibility_group:596207ce1c9c7475,Pet groomer,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,K9 Loft,,,,
eligibility_group:b686c7871ae764f8,Photographer,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Ron Rinaldi Photography,,,,
eligibility_group:c40b38a9a09eff2c,Physical therapist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Dr. Frank Lo,,,,
eligibility_group:4be703df9eed5108,Physician assistant,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Eureka_CA_S,Casey Kelly,,,,
eligibility_group:83a1f37e83b51b28,Podiatrist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,John Spina Dpm,,,,
eligibility_group:8cc3af3cb556b0b4,Psychologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,"Joan Demartini Warren, PSYD",,,,
eligibility_group:97f57507e4664de1,Registered general nurse,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,First Choice Primary Care: Rountree Rhonda MD,,,,
eligibility_group:6b0bfdb18f3e8f3d,Rehabilitation center,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Aquatic Rehabilitation Center,,,,
eligibility_group:b5c4ce5395b98413,Religious organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Fellowship For Christian,,,,
eligibility_group:3850dec87c574304,STD clinic,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Ponce De Leon Center,,,,
eligibility_group:62fd405f34bcf5e4,Social services organization,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,"Antonia Sarris, LCSW",,,,
eligibility_group:35cf00a42bc08bcb,State government office,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Macon_GA_M,North Central Health District,,,,
eligibility_group:1a7fe0b72a158684,Surgeon,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,Atlanta_GA_L,Medhanie Berhane,,,,
eligibility_group:0f60d922875b512e,Surgical center,needs_category_review,manual_review,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,NYC_NY_L,Hanna Face and Jaw,,,,
eligibility_group:a11b09fd5b033ba3,Uniform store,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Uniformland,,,,
eligibility_group:8c78ac49852cece2,University,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,SanFrancisco_CA_L,"University of the Pacific, Arthur A. Dugoni School of Dentistry",,,,
eligibility_group:f78d395ec472858a,Urologist,needs_category_review,unknown,external_evidence_required,,category and title evidence do not support a safe batch suggestion,1,LA_CA_L,Dr. Ruben Baghdassarian,,,,
eligibility_group:9acced880530cd1b,Dentist|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,7,Atlanta_GA_L|NYC_NY_L|SanFrancisco_CA_L|Vidalia_GA_S,Mercy Care || DR. MICHAEL ZEMELMAN || Dr. Nai Yan Lam || East Broadway Dental Center || Mandalay Dental Care PC.,,,,
eligibility_group:b5100c3d9e0ccdcb,Dental clinic|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,6,Atlanta_GA_L|Augusta_GA_L|Modesto_CA_M|NYC_NY_L|SanFrancisco_CA_L,Good Samaritan Health Center || DDEAMC Dental Clinic || Georgia Dental Clinic || Standiford Family Dental || 3CK Complete Health & Family Dentistry,,,,
eligibility_group:5d66d5a72d6afc63,Oral surgeon|Surgical center,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,5,Atlanta_GA_L|LA_CA_L|Modesto_CA_M|NYC_NY_L,Emory Clinic General/vsclr Surgery || Flintridge Office Oral Surgery & Implant Center || South Coast Surgery Center || Walls Dental Implant and Oral Surgical Arts || Grand Central Oral & Maxillofacial Surgery,,,,
eligibility_group:9e1937b2dda9c1f4,Community health center|Dentist,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,2,Buffalo_NY_L,Neighborhood Health Center || Neighborhood Health Center,,,,
eligibility_group:94aed6377fd0b11e,Dental clinic|Dental school,automatic_include|needs_category_review,include|unknown,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Buffalo_NY_L,UB School of Dental Medicine / UB Dental,,,,
eligibility_group:4a328709832d8373,Dental clinic|Dentist|Medical clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Augusta_GA_L,Christ Community Health Olde Town,,,,
eligibility_group:b0858f026bb86e7a,Dental clinic|Doctor,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Modesto_CA_M,Grace Dental of Modesto,,,,
eligibility_group:b6cac6a6ad4fd119,Dental clinic|Doctor|Medical Center,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Buffalo_NY_L,"Community Health Center of Buffalo, Inc.",,,,
eligibility_group:a48e809bd27ae1fc,Dental clinic|Free clinic,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,LA_CA_L,Los Angeles Christian Health Centers - Joshua House Clinic,,,,
eligibility_group:799490d30f423ab7,Dental clinic|Medical Center,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,NYC_NY_L,Charles B. Wang Community Health Center,,,,
eligibility_group:77f1b310e0ec8dc9,Dental clinic|Medical office,automatic_include|needs_category_review,include|unknown,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Augusta_GA_L,Medical Associates Plus,,,,
eligibility_group:705b6e7d13b84d1a,Dental hygienist|Pediatric dentist,automatic_include|needs_category_review,exclude|include,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Buffalo_NY_L,Humiston Bridget,,,,
eligibility_group:b728695d69854e02,Dentist|Denture care center|Periodontist,automatic_include|needs_category_review,include|unknown,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Buffalo_NY_L,Buffalo Denture Care Services,,,,
eligibility_group:837b8a0e4ad496b6,Design engineer|Emergency dental service,automatic_include|needs_category_review,include|unknown,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,LA_CA_L,"Dental Office App, powered by Dentulu",,,,
eligibility_group:5a2e5dc34c3d59e6,Medical clinic|Oral surgeon,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Buffalo_NY_L,Suburban Oral & Maxillofacial Surgery Associates PC,,,,
eligibility_group:314f9fea485411aa,Medical clinic|Pediatric dentist,automatic_include|needs_category_review,include|manual_review,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,NYC_NY_L,"Darryl Wu, DDS/",,,,
eligibility_group:1e0e8f0cf4d1053e,Pediatrician|Periodontist,automatic_include|needs_category_review,exclude|include,focused_category_conflict,include_dental_provider,at least one observed category has a frozen include rule,1,Atlanta_GA_L,Dr. Benjamin Blackburn,,,,
eligibility_group:33340ba2db18c2ad,Veterinarian,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,10,Atlanta_GA_L|Buffalo_NY_L|Eureka_CA_S|LA_CA_L|NYC_NY_L|Vidalia_GA_S,"Atlanta Veterinary Dentistry || Veterinary Dental Center of Atlanta || Ellicott Street Animal Hospital || Myrtle Avenue Veterinary Hospital || Dog and Cat Dentist, Inc.",,,,
eligibility_group:03aabea56f3fd971,Dental school,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,8,Augusta_GA_L|Buffalo_NY_L|LA_CA_L|NYC_NY_L|SanFrancisco_CA_L,Dental College of Georgia || State University of New York at Buffalo School of Dental Medicine || Global Dental Implant Academy || UCLA School of Dentistry || Ucla School Of Dentistry,,,,
eligibility_group:d1bdc0276582982d,Animal hospital,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,4,Buffalo_NY_L|Eureka_CA_S|Macon_GA_M,McClelland Small Animal Hospital || Broadway Animal Hospital || Healing Spirit Animal Wellness Center || Hudspeth Animal Hospital,,,,
eligibility_group:73ecfba8f12eba34,Dental supply store,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,3,LA_CA_L|SanFrancisco_CA_L,"Dunkel Dental Services & Equipment Sales, Inc. || OJG Health Products, Inc || EDT",,,,
eligibility_group:a5d78c435f0148a2,Educational institution,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,2,LA_CA_L,Global Academy of Oral Implantology || Global Dental Assistant Program.,,,,
eligibility_group:2073a0e934c168e6,Emergency veterinarian service,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,2,NYC_NY_L,URvet Care - Upper East Side NYC || URvet Care Medical Center - Astoria,,,,
eligibility_group:038e10c5e6f8567c,Health insurance agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,2,Buffalo_NY_L|Modesto_CA_M,Molina Healthcare of New York - Buffalo Enrollment Office || Health Plan of San Joaquin,,,,
eligibility_group:f7c843be67e281eb,Insurance agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,2,Macon_GA_M|NYC_NY_L,Meservey & Associates || NY Dental Insurance Quotes,,,,
eligibility_group:7d6616894d81e917,Veterinary care,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,2,Eureka_CA_S|LA_CA_L,"Humboldt Spay/Neuter Clinic || Dog and Cat Dentist, Inc.",,,,
eligibility_group:62ebc388157a2b70,Dental insurance agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,DC 37 Health Center,,,,
eligibility_group:f49cde5c98362481,Employment agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,"Fabysmiles – Dental, Medical, Medspa & Aesthetic Recruitment",,,,
eligibility_group:96cb5028b66511b9,Manufacturer,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Buffalo_NY_L,"Ivoclar Vivadent, Inc.",,,,
eligibility_group:c85032f10b2ddde9,Market researcher,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Augusta_GA_L,Top Dentists LLC,,,,
eligibility_group:808631f70ae4a1e8,Marketing agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Buffalo_NY_L,"Apex Dental Solutions, LLC",,,,
eligibility_group:47e685e7f3898679,Research foundation,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,NYC_NY_L,Park Dental Research Corporation,,,,
eligibility_group:dfee5c9d3f99f6c3,Software company,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Buffalo_NY_L,ABEL Dental Software Inc,,,,
eligibility_group:8a9abdffe9a03d11,Temp agency,needs_category_review,unknown,focused_category_evidence,exclude_non_dentist_category,unconfigured category identifies an auxiliary or non-provider business,1,Modesto_CA_M,A-Team Dental Staffing L.L.C,,,,
eligibility_group:525c831a331b438e,Medical clinic,needs_category_review,manual_review,focused_title_evidence,exclude_non_dentist_category,non-dental title signal with no configured final category rule,26,FortBragg_CA_S|LA_CA_L|Modesto_CA_M|NYC_NY_L|SanFrancisco_CA_L,"Medical Office: Adventist Health Mendocino Coast || APLA Health Center, CDU/MLK Medical Campus || Atalla Medical Group || CARE Center at Dignity Health - St. Mary Medical Center || Center for Community Health - JWCH Institute, Inc. Medical Clinic",,,,
