decision_id,market,profile_key,title,address,observed_sources,observed_categories,observed_source_decisions,profile_status_basis,allowed_manual_decisions,manual_decision,decision_evidence,evidence_url,reviewed_by,reviewed_on,category_group_id,category_rule_pattern,category_rule_reasons,unknown_categories,dental_title_signals,nondental_title_signals,category_nonprovider_signals,suggested_manual_decision,review_tier,suggestion_basis,automatic_final_decision_applied,source_phone,source_domain,source_website_url,source_votes_count,source_latitude,source_longitude,direct_profile_evidence_url,existing_evidence_route,normalized_source_domain,review_block_id,review_block_basis,row_review_note
profile:SanFrancisco_CA_L:google:cid:7955568972727550025,SanFrancisco_CA_L,google:cid:7955568972727550025,HealthRIGHT 360,"1563 Mission St, San Francisco, CA 94103",maps_core,Addiction treatment center,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:1c581a3afe68aaf2,unknown,,Addiction treatment center,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1415-762-3700,www.healthright360.org,http://www.healthright360.org/,96.0,37.7730537,-122.4181031,https://www.google.com/maps?cid=7955568972727550025,website_then_google_profile,www.healthright360.org,eligibility_review_block:5fd1c17645389daa,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:8520393266508949767,LA_CA_L,google:cid:8520393266508949767,K9 Loft,"450 S Arroyo Pkwy, Pasadena, CA 91105",business_listings,Kennel,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:1d59b7122da080e0,unknown,,Kennel,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1626-795-6060,www.k9loft.com,http://www.k9loft.com/,176.0,34.1379194,-118.1469785,https://www.google.com/maps?cid=8520393266508949767,website_then_google_profile,www.k9loft.com,eligibility_review_block:c4e461a591802370,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:8627939193481494640,NYC_NY_L,google:cid:8627939193481494640,Art Investment Consultancy,"851 5th Ave, New York, NY 10065",business_listings,Art gallery,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:2828f45881a41726,unknown,,Art gallery,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1212-734-0000,,,1.0,40.7687487,-73.96949049999999,https://www.google.com/maps?cid=8627939193481494640,google_profile_only,,eligibility_review_block:c0f721ea7ea7da6f,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:1041337711816604659,LA_CA_L,google:cid:1041337711816604659,100 Black Men of Los Angeles,"3701 Stocker St #309a, Los Angeles, CA 90008",business_listings,Non-profit organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:284d9dbfa1c169a1,unknown,,Non-profit organization,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1310-947-7745,www.100bmla.net,https://www.100bmla.net/,5.0,34.0070736,-118.33791,https://www.google.com/maps?cid=1041337711816604659,website_then_google_profile,www.100bmla.net,eligibility_review_block:27d0aae5d9705545,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:856027905363852558,LA_CA_L,google:cid:856027905363852558,Comprehensive Community Health Centers - Eagle Rock,"1704 Colorado Blvd, Los Angeles, CA 90041",business_listings,Non-profit organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:284d9dbfa1c169a1,unknown,,Non-profit organization,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1323-256-4116,cchccenters.org,https://cchccenters.org/,289.0,34.1391136,-118.2039119,https://www.google.com/maps?cid=856027905363852558,website_then_google_profile,cchccenters.org,eligibility_review_block:5c3e369f37db6a5b,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:14802067086695398071,NYC_NY_L,google:cid:14802067086695398071,Children's Aid - Dunlevy Milbank Center,"14-32 W 118th St, New York, NY 10026",business_listings,Non-profit organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:284d9dbfa1c169a1,unknown,,Non-profit organization,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1212-996-1716,www.childrensaidnyc.org,http://www.childrensaidnyc.org/programs/location/dunlevy-milbank-center,141.0,40.8023203,-73.9469254,https://www.google.com/maps?cid=14802067086695398071,website_then_google_profile,www.childrensaidnyc.org,eligibility_review_block:5fff7d16e629eefe,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:726771841321324320,NYC_NY_L,google:cid:726771841321324320,"Spanish American Medical Dental Society of New York, Inc.","104-01 Roosevelt Ave, Corona, NY 11368",business_listings,Association / Organization,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:2b363d7841954eac,unknown,,Association / Organization,dental,medical,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1718-505-2037,,,,40.7501998,-73.8616447,https://www.google.com/maps?cid=726771841321324320,google_profile_only,,eligibility_review_block:466e385c629f5f95,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:9088123712092137469,NYC_NY_L,google:cid:9088123712092137469,Center for Hemifacial Microsomia and Ear Deformities,"1991 Marcus Ave #102, North New Hyde Park, NY 11042",business_listings,Pediatric ophthalmologist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:2e00f425af73d508,unknown,,Pediatric ophthalmologist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1516-497-7900,pediatrics.northwell.edu,https://pediatrics.northwell.edu/departments-services/center-for-hemifacial-microsomia-ear-deformities?utm_source=provider_listing&utm_medium=partner&utm_campaign=yext,,40.7553484,-73.6915918,https://www.google.com/maps?cid=9088123712092137469,website_then_google_profile,pediatrics.northwell.edu,eligibility_review_block:8a887994f814d1e9,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:3964067785989222189,LA_CA_L,google:cid:3964067785989222189,Workforce Resource & Management Group,"5150 CA-1, Long Beach, CA 90804",business_listings,Consultant,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:33f2d6fdc924912e,unknown,,Consultant,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1562-497-0861,,,,33.7829014,-118.1336177,https://www.google.com/maps?cid=3964067785989222189,google_profile_only,,eligibility_review_block:52fd2bfc8c173032,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Macon_GA_M:google:cid:135096128598810680,Macon_GA_M,google:cid:135096128598810680,North Central Health District,"201 2nd St, Macon, GA 31201",maps_core,State government office,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:35cf00a42bc08bcb,unknown,,State government office,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1478-751-6303,www.northcentralhealthdistrict.org,http://www.northcentralhealthdistrict.org/,1.0,32.839228,-83.6274485,https://www.google.com/maps?cid=135096128598810680,website_then_google_profile,www.northcentralhealthdistrict.org,eligibility_review_block:2653e847e6824843,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Atlanta_GA_L:google:cid:14051362357773369561,Atlanta_GA_L,google:cid:14051362357773369561,Ponce De Leon Center,"341 Ponce De Leon Ave NE, Atlanta, GA 30308",business_listings,STD clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:3850dec87c574304,unknown,,STD clinic,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1404-616-2440,www.gradyhealth.org,https://www.gradyhealth.org/locations/ponce-de-leon-center/?utm_source=gmb&utm_medium=organic&utm_campaign=sitelink&utm_id=ponce,81.0,33.771853,-84.3761076,https://www.google.com/maps?cid=14051362357773369561,website_then_google_profile,www.gradyhealth.org,eligibility_review_block:91500f742546c595,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:2520457688506967269,LA_CA_L,google:cid:2520457688506967269,Comprehensive Health Care,"3540 Wilshire Blvd #715, Los Angeles, CA 90010",business_listings,Home health care service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:3fb50d6253134f7d,unknown,,Home health care service,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1213-389-4876,comphc.org,https://comphc.org/,1.0,34.0614464,-118.3016875,https://www.google.com/maps?cid=2520457688506967269,website_then_google_profile,comphc.org,eligibility_review_block:fb2c1c9219e47f0f,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:9861830449886396311,LA_CA_L,google:cid:9861830449886396311,TelerainMD-Online Doctor Consultation,"19360 Rinaldi St #375, Porter Ranch, CA 91326",business_listings,Home health care service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:3fb50d6253134f7d,unknown,,Home health care service,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1858-437-5812,,,625.0,34.273585,-118.554954,https://www.google.com/maps?cid=9861830449886396311,google_profile_only,,eligibility_review_block:470d90260693674d,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:15795670956715437029,NYC_NY_L,google:cid:15795670956715437029,Aspire Health Solutions,"8 Davison Plaza, East Rockaway, NY 11518",business_listings,Home health care service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:3fb50d6253134f7d,unknown,,Home health care service,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1347-717-4117,www.aspirehs.com,https://www.aspirehs.com/,5.0,40.643136,-73.65964799999999,https://www.google.com/maps?cid=15795670956715437029,website_then_google_profile,www.aspirehs.com,eligibility_review_block:bfdd4f662893030a,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:NYC_NY_L:google:cid:13044985527534183180,NYC_NY_L,google:cid:13044985527534183180,Project Renewal Fort Washington Men's Shelter,"651 W 168th St, New York, NY 10032",business_listings,Homeless shelter,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:488e8f068db9ff30,unknown,,Homeless shelter,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1212-740-1780,www.projectrenewal.org,http://www.projectrenewal.org/,60.0,40.8419418,-73.941307,https://www.google.com/maps?cid=13044985527534183180,website_then_google_profile,www.projectrenewal.org,eligibility_review_block:3ce0aa1cf632b127,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Buffalo_NY_L:google:cid:7759169902728672012,Buffalo_NY_L,google:cid:7759169902728672012,CurlyJanes Crystal Rose,"21 Leroy Ave, Buffalo, NY 14214",business_listings,Herbalist,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:4ba8b77a4528c354,unknown,,Herbalist,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,,www.curlyjanes.com,http://www.curlyjanes.com/,13.0,42.93266,-78.8448779,https://www.google.com/maps?cid=7759169902728672012,website_then_google_profile,www.curlyjanes.com,eligibility_review_block:98f404512480c445,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Eureka_CA_S:google:cid:637581436883905048,Eureka_CA_S,google:cid:637581436883905048,Casey Kelly,"2200 Tydd St, Eureka, CA 95501",maps_core,Physician assistant,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:4be703df9eed5108,unknown,,Physician assistant,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1707-269-7051,,,,40.8020886,-124.1458058,https://www.google.com/maps?cid=637581436883905048,google_profile_only,,eligibility_review_block:fba07c19aa99e90a,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:LA_CA_L:google:cid:7646798875731967891,LA_CA_L,google:cid:7646798875731967891,"InterDent, Inc.","2260 E Imperial Hwy, El Segundo, CA 90245",business_listings,Business to business service,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:4e65f218b0c2f72b,unknown,,Business to business service,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1310-765-2400,www.interdent.com,https://www.interdent.com/,10.0,33.9300826,-118.3837026,https://www.google.com/maps?cid=7646798875731967891,website_then_google_profile,www.interdent.com,eligibility_review_block:9d5ca6e1f78928ea,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Atlanta_GA_L:google:cid:1014165455047184436,Atlanta_GA_L,google:cid:1014165455047184436,Georgia State University Student Clinic,"75 Piedmont Ave NE Ste 200, Atlanta, GA 30312",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1404-413-1930,health.gsu.edu,http://health.gsu.edu/,71.0,33.7566635,-84.3819613,https://www.google.com/maps?cid=1014165455047184436,website_then_google_profile,health.gsu.edu,eligibility_review_block:848929f859c17027,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Atlanta_GA_L:google:cid:16152439090923692825,Atlanta_GA_L,google:cid:16152439090923692825,Mercy Care at Gateway Center,"275 Pryor St SW, Atlanta, GA 30303",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1678-843-8600,mercyatlanta.org,http://mercyatlanta.org/LOCATION_GATEWAY_CENTER,15.0,33.7475406,-84.3943666,https://www.google.com/maps?cid=16152439090923692825,website_then_google_profile,mercyatlanta.org,eligibility_review_block:1b757650ef12cc79,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Atlanta_GA_L:google:cid:374081400048267317,Atlanta_GA_L,google:cid:374081400048267317,Whitefoord Health Center,"1401 Hosea L Williams Dr NE, Atlanta, GA 30317",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1404-373-6614,whitefoord.org,http://whitefoord.org/,124.0,33.7531661,-84.3417968,https://www.google.com/maps?cid=374081400048267317,website_then_google_profile,whitefoord.org,eligibility_review_block:c64197d1b4ae0c54,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Atlanta_GA_L:google:cid:16197116083296152898,Atlanta_GA_L,google:cid:16197116083296152898,"Whitefoord, Inc.","35 Whitefoord Ave SE, Atlanta, GA 30317",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1404-373-6614,www.whitefoord.org,http://www.whitefoord.org/,17.0,33.7527847,-84.3424148,https://www.google.com/maps?cid=16197116083296152898,website_then_google_profile,www.whitefoord.org,eligibility_review_block:bd420ca7392f1a01,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Augusta_GA_L:google:cid:15876635400132913439,Augusta_GA_L,google:cid:15876635400132913439,Christ Community Health Peach Orchard,"2604 Peach Orchard Rd #200, Augusta, GA 30906",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1706-396-1493,www.cchsaugusta.org,https://www.cchsaugusta.org/,26.0,33.4250602,-82.0178985,https://www.google.com/maps?cid=15876635400132913439,website_then_google_profile,www.cchsaugusta.org,eligibility_review_block:15a90604db2d1ce1,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Augusta_GA_L:google:cid:17592610386023037987,Augusta_GA_L,google:cid:17592610386023037987,Druid Park Community Health Center,"1018 Druid Park Ave, Augusta, GA 30904",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1706-738-0455,mirmakmin.com,https://mirmakmin.com/,28.0,33.4738714,-81.9960672,https://www.google.com/maps?cid=17592610386023037987,website_then_google_profile,mirmakmin.com,eligibility_review_block:d7bb651c0151370c,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Buffalo_NY_L:google:cid:16190680881071780487,Buffalo_NY_L,google:cid:16190680881071780487,City Smiles,"2264 Main St Apt 1, Buffalo, NY 14214",business_listings,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,,,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1716-837-4029,,,,42.9314786,-78.8479326,https://www.google.com/maps?cid=16190680881071780487,google_profile_only,,eligibility_review_block:993c355ef4785fad,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
profile:Buffalo_NY_L:google:cid:9379723610265778813,Buffalo_NY_L,google:cid:9379723610265778813,ECMC Center for Dental Care - Buffalo General Medical Center,"100 High St, Buffalo, NY 14203",maps_core,Medical clinic,needs_category_review,unreviewed_or_conflicting_category_evidence,exclude_non_dentist_category|include_dental_provider,,,,,,eligibility_group:504917ff371eb69d,manual_review,Medical clinic: Category alone does not establish whether dental care is provided,,dental,medical,,,external_evidence_required,category and title evidence do not support a safe batch suggestion,False,+1716-859-4180,www.ecmc.edu,https://www.ecmc.edu/health-services-and-doctors/outpatient-specialty-clinics/dental-clinic/,1.0,42.9008378,-78.8656992,https://www.google.com/maps?cid=9379723610265778813,website_then_google_profile,www.ecmc.edu,eligibility_review_block:d0e62ff8a53b9af5,singleton_profile,"Fill this row only when it is an exception to a reviewed group decision, or when its group is marked individual_review."
